Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"Threadneedle (Lux) US High Yield Bond AUP Inc USD",USD,4,Y,N,N,Y,1.25%,1.55%,USD 221.80,1000.00,100.00,5.26%,Payout,M,0,
"JPMorgan Funds - Emerging Markets Dividend A (mth) SGD-H",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 538.20,1000.00,500.00,3.21%,Reinvest,M,0,
"United Asia Pacific Real Estate Income Dis SGD",SGD,10,Y,N,N,Y,1.50%,2.38%,SGD 16.76,1000.00,100.00,4.40%,Payout,M,0,
"BNP Paribas Europe Convertible EUR",EUR,5,Y,N,N,N,1.20%,1.62%,EUR 131.00,1000.00,100.00,,,,0,
"BNP Paribas Latin America Equity USD",USD,9,Y,N,N,N,1.75%,2.22%,USD 56.00,1000.00,100.00,,,,0,
"Allianz US High Yield Cl AM DIS H2-AUD",AUD,4,Y,N,N,Y,1.00%,1.36%,USD 1039.76,1000.00,100.00,6.55%,Payout,M,0,
"PIMCO Global Bond Fund Cl E Inc GBP-H",GBP,2,Y,N,N,Y,1.39%,1.39%,USD 14500.00,1000.00,500.00,0.53%,Payout,Q,0,
"Threadneedle (Lux) Emerging Market Corporate Bond ASH Acc SGD-H",SGD,5,Y,N,N,Y,1.35%,1.65%,USD 49.20,1000.00,100.00,,,,0,
"Nikko AM Singapore Dividend Equity SGD",SGD,8,Y,N,N,Y,1.25%,1.44%,SGD 401.04,1000.00,100.00,4.88%,Payout,M,0,
"Legg Mason ClearBridge - Value A Acc SGD-H",SGD,8,Y,N,N,N,1.35%,1.80%,USD 670.00,1000.00,100.00,,,,0,
"BNP Paribas Consumer Innovators Classic Cap USD",USD,10,Y,N,N,N,1.50%,1.97%,EUR 1225.00,1000.00,100.00,,,,0,
"Schroder Asian Income A Dis SGD",SGD,6,Y,N,N,Y,1.25%,1.44%,SGD 4934.63,1000.00,100.00,4.70%,Payout,M,0,
"Blackrock World Energy Fund A2 SGD-H",SGD,10,Y,N,N,Y,1.75%,2.07%,USD 2289.04,1000.00,100.00,,,,0,
"Fidelity Global Dividend A-MINCOME(G)-USD",USD,7,Y,N,N,N,1.50%,1.89%,USD 10502.00,1000.00,100.00,2.51%,Payout,M,0,
"Manulife Global Fund - Strategic Income Fund AA USD",USD,4,Y,N,N,N,1.25%,,USD 33.12,1000.00,100.00,,Reinvest,Y,0,
"Eastspring Investments - Asian Equity Income AS SGD-H",SGD,8,Y,Y,N,Y,1.50%,1.61%,USD 622.60,1000.00,100.00,,,,0,
"Janus Henderson Horizon Asian Dividend Income A3 SGD",SGD,8,Y,N,N,N,1.20%,1.93%,USD 121.94,1000.00,100.00,4.93%,Payout,Q,0,
"Eastspring Investments - Asian High Yield Bond ASDM SGD-H",SGD,5,Y,N,N,N,1.00%,1.36%,USD 475.20,1000.00,100.00,7.78%,Payout,M,0,
"Schroder ISF Global Climate Change Equity A Acc USD",USD,9,Y,N,N,N,1.50%,1.84%,USD 4468.12,1000.00,100.00,,,,0,
"Eastspring Investments - US Corporate Bond ASDM SGD-H",SGD,3,Y,N,N,N,0.90%,1.42%,USD 3797.70,1000.00,100.00,3.11%,Payout,M,0,
"JPMorgan Funds - Global Natural Resources A (acc) SGD",SGD,10,Y,N,N,Y,1.50%,1.80%,USD 1239.80,1000.00,500.00,,,,0,
"PIMCO Asia Strategic Interest Bond Fund Cl E Acc EUR",EUR,4,Y,N,N,Y,1.50%,1.50%,USD 291.20,1000.00,100.00,,,,0,
"Fullerton Dynamic Strategies - Aggressive A SGD",SGD,9,Y,N,N,Y,1.20%,1.78%,SGD 29.60,1000.00,100.00,,,,0,
"Fidelity Singapore A-SGD",SGD,8,Y,N,N,N,1.50%,1.91%,USD 140.00,1000.00,100.00,1.76%,Reinvest,Y,0,
"Schroder ISF Global Dividend Maximiser A Dis SGD",SGD,7,Y,N,N,N,1.50%,1.87%,USD 1693.28,1500.00,100.00,7.01%,Payout,Q,0,
"NN (L) Emerging Markets Debt (Local Currency) P SGD-H",SGD,4,Y,N,N,Y,1.00%,1.36%,USD 61.28,1000.00,100.00,,,,0,
"Eastspring Investments Unit Trusts - Global Balanced SGD",SGD,6,Y,N,N,Y,1.35%,1.65%,SGD 15.80,1000.00,100.00,,,,0,
