Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"PIMCO US High Yield Bond Fund Cl E Acc EUR-H",EUR,4,Y,N,N,Y,1.45%,1.45%,USD 4200.00,1000.00,100.00,,,,0,
"Schroder ISF Global Multi-Asset Income A Dis RMB-H",CNH,5,Y,N,N,N,1.25%,1.57%,USD 2115.06,5000.00,500.00,4.89%,Payout,M,0,
"Schroder ISF Asian Dividend Maximiser A Dis SGD-H",SGD,8,Y,N,N,N,1.50%,1.89%,USD 264.15,1000.00,100.00,6.81%,Payout,M,0,
"Schroder ISF Global Climate Change Equity A Acc SGD",SGD,9,Y,N,N,N,1.50%,1.84%,USD 4468.12,1500.00,100.00,,,,0,
"Schroder Asian Growth A Dis USD",USD,8,Y,N,N,N,1.13%,1.33%,SGD 2259.14,1000.00,100.00,2.36%,Payout,Q,0,
"Blackrock Asian Tiger Bond A6 USD",USD,4,Y,N,N,Y,1.00%,1.22%,USD 5862.95,1000.00,100.00,4.93%,Reinvest,M,0,
"Blackrock Asia Pacific Equity Income A5 SGD-H",SGD,8,Y,N,N,Y,1.50%,1.85%,USD 200.83,1000.00,100.00,2.07%,Reinvest,Q,0,
"Aberdeen Standard Asian Smaller Companies SGD",SGD,10,Y,Y,N,Y,1.50%,1.75%,SGD 30.20,1000.00,100.00,,,,0,
"Allianz European Equity Dividend Cl AM DIS H2-USD",USD,8,Y,N,N,Y,1.50%,1.83%,EUR 1817.89,1000.00,100.00,5.45%,Payout,M,0,
"LionGlobal Singapore Balanced SGD",SGD,5,Y,N,N,Y,1.25%,1.45%,SGD 50.30,1000.00,100.00,,,,0,
"PIMCO US High Yield Bond Fund Cl M-Retail Inc USD",USD,4,Y,N,N,Y,1.45%,1.45%,USD 4200.00,1000.00,100.00,3.66%,Payout,M,0,
"Eastspring Investments - World Value Equity AS SGD-H",SGD,7,Y,N,N,Y,1.50%,2.15%,USD 463.80,1000.00,100.00,,,,0,
"JPMorgan Funds - Africa Equity A (perf) (acc) USD",USD,9,Y,N,N,Y,1.50%,1.80%,USD 141.40,1000.00,500.00,,,,0,
"Allianz Global High Payout SGD",SGD,8,Y,Y,N,Y,1.40%,1.67%,USD 60.51,1000.00,100.00,4.48%,Payout,H,0,
"Fullerton Lux Funds - Asian Short Duration Bond A Dis SGD-H",SGD,3,Y,N,N,Y,0.70%,0.88%,SGD 242.74,1000.00,100.00,3.04%,Payout,Q,0,
"Janus Henderson Horizon Japanese Smaller Companies A2 USD-H",USD,10,Y,N,N,N,1.20%,3.35%,JPY 36100.00,1000.00,100.00,,,,0,
"Schroder ISF Emerging Europe A Acc EUR",EUR,9,Y,N,N,N,1.50%,1.87%,EUR 957.69,1000.00,100.00,,,,0,
"Schroder Singapore Fixed Income A Acc SGD",SGD,1,Y,Y,Y,Y,0.50%,0.69%,SGD 708.19,1000.00,500.00,,,,0,
"First Sentier Global Balanced A Acc SGD",SGD,6,Y,N,N,Y,1.10%,1.69%,SGD 20.50,1000.00,100.00,,,,0,
"First Sentier Global Property Securities A DIS SGD",SGD,10,Y,N,N,Y,1.50%,1.95%,SGD 17.00,1000.00,100.00,2.73%,Reinvest,Y,0,
"DWS Premier Select Trust A SGD",SGD,6,Y,N,N,Y,0.60%,0.95%,SGD 173.93,1000.00,500.00,,,,0,
"BNY Mellon Asia Rising Stars A Acc USD",USD,10,Y,N,N,N,1.60%,2.05%,USD 4.40,5000.00,100.00,,,,0,
"Blackrock US Small and MidCap Opportunities A2 USD",USD,10,Y,N,N,Y,1.50%,1.83%,USD 617.46,1000.00,100.00,,,,0,
"JPMorgan Funds - Emerging Markets Equity A (acc) USD",USD,9,Y,N,N,Y,1.50%,1.72%,USD 13079.80,1000.00,100.00,,,,0,
"Fidelity Asian Bond A-MINCOME(G) USD",USD,3,Y,N,N,N,0.75%,1.05%,USD 3346.00,1000.00,100.00,4.10%,Payout,M,0,
"Fidelity Asian Bond A-HMDIST(G)-AUD (hedged)",AUD,3,Y,N,N,N,0.75%,1.05%,USD 3346.00,1000.00,100.00,3.95%,Payout,M,0,
"Fidelity Asia Pacific Strategic Income A-MINCOME(G)-SGD",SGD,4,Y,N,N,Y,1.00%,1.33%,USD 88.00,1000.00,100.00,6.70%,Payout,M,0,
"Fidelity Asian Bond A-MINCOME(G)-SGD (hedged)",SGD,3,Y,N,N,Y,0.75%,1.05%,USD 3346.00,1000.00,100.00,4.13%,Payout,M,0,
"Threadneedle (Lux) Emerging Market Debt ASH Acc SGD-H",SGD,5,Y,N,N,Y,1.35%,1.65%,USD 45.70,1000.00,100.00,,,,0,
"United Asian Income Fund Dis USD",USD,7,Y,N,N,N,1.00%,2.87%,USD 3.61,1000.00,100.00,4.44%,Payout,M,0,
"Maybank Asian Equity Fund A Acc SGD",SGD,8,Y,N,N,N,1.50%,1.75%,SGD 160.90,1000.00,100.00,,,,0,
"Schroder ISF Global Dividend Maximiser A Dis USD",USD,7,Y,N,N,N,1.50%,1.87%,USD 1693.28,1000.00,100.00,6.91%,Payout,Q,0,
"First Sentier Global Listed Infrastructure A DIS SGD",SGD,9,Y,N,N,Y,1.50%,2.14%,SGD 20.90,1000.00,100.00,1.99%,Reinvest,H,0,
"Allianz Income and Growth Cl AM DIS H2-SGD",SGD,7,Y,N,N,Y,1.25%,1.54%,USD 34043.52,1000.00,100.00,7.42%,Payout,M,0,
"Neuberger Berman US Multicap Opportunities A Acc USD",USD,8,Y,N,N,Y,1.70%,1.88%,USD 695.33,1000.00,100.00,,,,0,
"Blackrock Asian Growth Leaders A2 USD",USD,8,Y,N,N,Y,1.50%,1.84%,USD 1709.67,1000.00,100.00,,,,0,
"Fidelity Global Consumer Industries A-GBP",GBP,10,Y,N,N,N,1.50%,1.90%,EUR 1451.00,1000.00,100.00,,Reinvest,Y,0,
"United Singapore Bond Fund A Acc SGD",SGD,1,Y,Y,Y,Y,0.55%,0.77%,SGD 237.12,1000.00,100.00,,,,0,
"Schroder ISF BRIC A Acc USD",USD,9,Y,N,N,N,1.50%,1.85%,USD 1049.00,1000.00,100.00,,,,0,
"BNY Mellon Asia Rising Stars H Acc SGD-H",SGD,10,Y,N,N,N,1.60%,2.05%,USD 4.33,5000.00,100.00,,,,0,
"PIMCO Emerging Markets Corporate Bond Fund Cl E Acc EUR",EUR,5,Y,N,N,Y,1.85%,0.95%,USD 240.00,1000.00,100.00,,,,0,
"PIMCO Emerging Markets Corporate Bond Fund Cl E Acc USD",USD,5,Y,N,N,Y,1.85%,1.85%,USD 235.60,1000.00,100.00,,,,0,
"United Japan Small and Mid Cap SGD-H",SGD,10,Y,N,N,Y,1.75%,2.05%,SGD 148.20,1000.00,100.00,,,,0,
"Blackrock European Special Situations A2 EUR",EUR,8,Y,N,N,Y,1.50%,1.82%,EUR 1344.67,1000.00,100.00,,,,0,
"Amundi Funds Emerging Markets Blended Bond A2 (MD) SGD-H",SGD,5,Y,N,N,N,1.30%,1.65%,EUR 2900.05,1000.00,100.00,4.69%,Payout,M,0,
"United Greater China Fund A Acc SGD",SGD,8,Y,N,N,Y,1.50%,1.91%,SGD 56.74,1000.00,100.00,,,,0,
"United Global Dividend Equity Fund A SGD Dist",SGD,7,Y,N,N,Y,1.50%,2.76%,SGD 7.01,1000.00,100.00,1.80%,Reinvest,H,0,
"United European Small And Mid Cap Fund SGD",SGD,10,Y,N,N,Y,1.75%,3.69%,SGD 3.77,1000.00,100.00,,,,0,
"HGIF - Asia Pacific ex Japan Equity High Dividend AM2 SGD",SGD,8,Y,N,N,N,1.50%,1.85%,USD 361.12,1000.00,100.00,3.78%,Payout,M,0,
"Amundi Funds Global Aggregate Bond A2 (MD) USD",USD,4,Y,N,N,N,0.95%,1.20%,USD 4789.11,1000.00,100.00,1.54%,Payout,M,0,
"Fidelity US Dollar Bond A-ACC USD",USD,3,Y,N,N,N,0.75%,1.04%,USD 1849.00,1000.00,100.00,,,,0,
"AB SICAV I Sustainable Global Thematic A USD",USD,7,Y,N,N,N,1.70%,1.95%,USD 2495.77,2000.00,750.00,,,,0,
"Fidelity European High Yield A-MDIST-EUR",EUR,4,Y,N,N,N,1.00%,1.40%,EUR 2833.00,6000.00,100.00,3.55%,Payout,M,0,
"Fullerton SGD Income Fund Cl B SGD",SGD,3,Y,N,N,Y,1.00%,1.07%,SGD 2234.38,1000.00,100.00,3.88%,Payout,Q,0,
"DWS Invest Multi Opportunities LCH AUD",AUD,6,Y,N,N,N,1.30%,1.20%,EUR 529.60,1000.00,100.00,,,,0,
"PIMCO Global High Yield Bond Fund Cl E Inc GBP-H",GBP,4,Y,N,N,Y,1.45%,1.45%,USD 5500.00,1000.00,100.00,3.13%,Payout,Q,0,
"PIMCO Global High Yield Bond Fund Cl E Inc SGD-H",SGD,4,Y,N,N,Y,1.45%,1.45%,USD 5300.00,1000.00,100.00,3.17%,Payout,Q,0,
"Fidelity China Focus SR-ACC-SGD (CPF)",SGD,9,N,Y,N,N,1.30%,1.71%,USD 2470.00,1000.00,100.00,,,,0,
"United Global Durable Equities Fund Acc SGD",SGD,7,Y,N,N,Y,1.75%,2.14%,SGD 270.46,1000.00,100.00,,,,0,
"Manulife Singapore Bond A SGD",SGD,1,Y,Y,Y,Y,0.75%,0.91%,SGD 142.05,1000.00,100.00,,,,0,
"Neuberger Berman High Yield Bond A MDis USD",USD,4,Y,N,N,Y,1.20%,1.34%,USD 3256.23,1000.00,100.00,6.08%,Payout,M,0,
"Legg Mason QS - MV Global Equity Growth and Income A Mdis SGD-H Plus",SGD,7,Y,N,N,N,1.35%,1.84%,USD 13.19,1000.00,100.00,4.64%,Reinvest,M,0,
"PIMCO Global Real Return Fund Cl E Inc GBP-H",GBP,2,Y,N,N,Y,1.39%,1.39%,USD 2900.00,1000.00,100.00,,Payout,Q,0,
"Growthpath Portfolios - Growthpath 2030 SGD",SGD,6,Y,N,N,Y,0.95%,2.44%,SGD 5.54,1000.00,100.00,,,,0,
"United Global Healthcare Fund Acc SGD",SGD,10,Y,N,N,Y,1.75%,2.12%,SGD 766.26,1000.00,100.00,,,,0,
"United Emerging Markets Bond A DIS SGD",SGD,5,Y,N,N,Y,1.75%,1.95%,SGD 142.96,1000.00,100.00,4.49%,Payout,M,0,
"United Asian Income Fund Dis SGD",SGD,7,Y,N,N,Y,1.00%,2.82%,SGD 4.81,1000.00,100.00,4.49%,Payout,M,0,
"Amundi Funds Emerging Markets Equity Focus A2 (C) USD",USD,9,Y,N,N,N,1.85%,2.20%,USD 1258.44,1000.00,100.00,,,,0,
"United SGD Fund Cl A Dis SGD",SGD,2,Y,N,N,Y,0.63%,0.66%,SGD 2645.24,1000.00,100.00,2.52%,Payout,Q,0,
"Blackrock European Fund A2 AUD-H",AUD,8,Y,N,N,Y,1.50%,1.82%,EUR 1495.44,1000.00,100.00,,,,0,
"Schroder ISF Asian Dividend Maximiser A Dis SGD",SGD,8,Y,N,N,N,1.50%,1.86%,USD 264.15,1000.00,100.00,6.90%,Payout,M,0,
"DWS Invest Multi Opportunities LDMH SGD",SGD,6,Y,N,N,N,1.30%,1.20%,EUR 529.60,1000.00,100.00,8.14%,Payout,M,0,
"United Japan Growth Fund SGD",SGD,8,Y,N,N,Y,1.50%,2.27%,SGD 12.67,1000.00,100.00,,,,0,
"Nikko AM Shenton Global Property Securities SGD",SGD,10,Y,N,N,Y,1.50%,1.99%,USD 25.06,1000.00,100.00,1.60%,Payout,Q,0,
"PIMCO Global High Yield Bond Fund Cl E Acc EUR-H",EUR,4,Y,N,N,Y,1.45%,1.45%,USD 5500.00,1000.00,100.00,,,,0,
"PIMCO Low Average Duration Fund Cl E Acc USD",USD,2,Y,N,N,Y,1.36%,1.36%,USD 1200.00,1000.00,100.00,,,,0,
"PIMCO Low Average Duration Fund Cl E Acc EUR-H",EUR,2,Y,N,N,Y,1.36%,1.36%,USD 1200.00,1000.00,100.00,,,,0,
"Neuberger Berman Emerging Market Debt Local Currency A MDis USD",USD,5,Y,N,N,Y,1.50%,1.70%,USD 2516.73,1000.00,100.00,6.50%,Payout,M,0,
"Blackrock India Fund A2 USD",USD,9,Y,N,N,Y,1.50%,2.00%,USD 391.24,1000.00,100.00,,,,0,
"DWS Invest Top Euroland LC EUR",EUR,8,Y,N,N,N,1.50%,1.59%,EUR 502.50,1000.00,100.00,,,,0,
"PIMCO Global Real Return Fund Cl E Acc EUR-H",EUR,2,Y,N,N,Y,1.39%,1.39%,USD 2900.00,1000.00,100.00,,,,0,
"PIMCO Low Average Duration Fund Cl E Inc USD",USD,2,Y,N,N,Y,1.36%,1.36%,USD 1200.00,1000.00,100.00,1.78%,Payout,Q,0,
"United Global Real Estate Income Fund A Dis SGD",SGD,10,Y,N,N,Y,1.30%,3.54%,SGD 4.92,1000.00,100.00,5.26%,Payout,M,0,
"Threadneedle European Select Class 1 Acc GBP",GBP,8,Y,N,N,N,1.50%,1.60%,GBP 1853.80,1000.00,100.00,,,,0,
"United China-India Dynamic Growth SGD",SGD,9,Y,N,N,Y,1.50%,3.27%,SGD 28.00,1000.00,100.00,,,,0,
"Neuberger Berman High Yield Bond A Acc SGD-H",SGD,4,Y,N,N,Y,1.20%,1.34%,USD 3256.23,1000.00,100.00,,,,0,
"Eastspring Investments - Indonesia Equity AS SGD",SGD,9,Y,N,N,N,1.50%,2.16%,USD 101.00,1000.00,100.00,,,,0,
"United Global Resources A Acc SGD",SGD,10,Y,N,N,Y,1.50%,3.07%,SGD 9.69,1000.00,100.00,,,,0,
"United Gold and General A Acc SGD",SGD,10,Y,N,N,Y,1.50%,1.80%,SGD 174.70,1000.00,100.00,,,,0,
"Neuberger Berman Strategic Income A MDis USD",USD,3,Y,N,N,Y,1.00%,1.15%,USD 1306.18,1000.00,100.00,4.05%,Payout,M,0,
"BNY Mellon Global Opportunities A USD",USD,7,Y,N,N,N,2.00%,2.22%,USD 41.19,5000.00,100.00,,,,0,
"Eastspring Investments - Global Multi Asset Income Plus Growth ADM USD",USD,6,Y,N,N,N,1.25%,1.54%,USD 138.90,1000.00,100.00,4.45%,Payout,M,0,
"Threadneedle (Lux) Flexible Asian Bond AU Acc USD",USD,4,Y,N,N,Y,0.90%,1.55%,USD 67.70,1000.00,100.00,,,,0,
"Manulife Asia Pacific Investment Grade Bond A SGD",SGD,3,Y,Y,Y,Y,0.75%,0.89%,SGD 510.69,1000.00,100.00,,,,0,
"Nikko AM Horizon Global Bond SGD-H",SGD,3,Y,N,N,Y,1.25%,1.55%,SGD 24.78,1000.00,100.00,,,,0,
"FTIF - Templeton Global AS Acc SGD (CPF)",SGD,7,N,N,N,N,1.00%,1.74%,USD 854.00,1000.00,100.00,,,,0,
"Allianz Flexi Asia Bond Cl AM DIS USD",USD,4,Y,N,N,Y,1.25%,1.54%,USD 438.32,1000.00,100.00,4.75%,Payout,M,0,
"Fidelity China RMB Bond A-ACC-USD",USD,5,Y,N,N,N,0.75%,1.08%,USD 566.00,1000.00,100.00,,,,0,
"Fidelity Emerging Market Debt A-MINCOME(G)-USD",USD,5,Y,N,N,N,1.20%,1.61%,USD 2625.00,1000.00,100.00,5.88%,Payout,M,0,
"Legg Mason Brandywine - Global Fixed Income A Acc SGD",SGD,2,Y,N,N,N,1.10%,1.34%,USD 308.00,1000.00,100.00,,,,0,
"Fullerton Lux Funds - Asian Short Duration Bond A Acc USD",USD,3,Y,N,N,N,0.70%,0.89%,USD 182.45,1000.00,100.00,,,,0,
"Eastspring Investments - US High Investment Grade Bond A USD",USD,3,Y,N,N,N,1.25%,1.61%,USD 225.90,1000.00,100.00,,,,0,
"FTIF - Templeton Global Total Return A (Mdis) SGD-H1",SGD,4,Y,N,N,Y,0.75%,1.43%,USD 5960.00,1000.00,100.00,8.44%,Reinvest,M,0,
"PIMCO Global Investment Grade Credit Fund Cl E Inc SGD-H",SGD,3,Y,N,N,Y,1.39%,1.39%,USD 22300.00,1000.00,100.00,1.81%,Payout,Q,0,
"PIMCO Income Fund Cl E Inc AUD-H",AUD,4,Y,N,N,Y,1.45%,1.45%,USD 70400.00,1000.00,100.00,4.03%,Payout,M,0,
"Threadneedle (Lux) Flexible Asian Bond ASH Acc SGD-H",SGD,4,Y,N,N,Y,0.90%,1.55%,SGD 90.10,1000.00,100.00,,,,0,
"Blackrock European Fund A2 GBP-H",GBP,8,Y,N,N,Y,1.50%,1.82%,EUR 1495.44,1000.00,100.00,,,,0,
"JPMorgan Funds - Global Equity A (acc) SGD",SGD,7,Y,N,N,Y,1.00%,1.30%,USD 220.40,1000.00,500.00,,,,0,
"Allianz Flexi Asia Bond Cl AM DIS H2-AUD",AUD,4,Y,N,N,Y,1.25%,1.54%,USD 438.32,1000.00,100.00,4.77%,Payout,M,0,
"Allianz Flexi Asia Bond Cl AM DIS H2-EUR",EUR,4,Y,N,N,Y,1.25%,1.54%,USD 438.32,1000.00,100.00,3.72%,Payout,M,0,
"Allianz Flexi Asia Bond Cl AM DIS H2-GBP",GBP,4,Y,N,N,Y,1.25%,1.54%,USD 438.32,1000.00,100.00,4.22%,Payout,M,0,
"Allianz Flexi Asia Bond Cl AM DIS H2-RMB",CNH,4,Y,N,N,Y,1.25%,1.54%,USD 438.32,1000.00,100.00,7.32%,Payout,M,0,
"Schroder Asian Growth A Dis SGD",SGD,8,Y,Y,N,Y,1.13%,1.33%,SGD 2259.14,1000.00,500.00,2.38%,Payout,Q,0,
"UBS (Lux) Bond Fund - Euro High Yield P MDIS SGD-H",SGD,4,Y,N,N,N,1.01%,1.36%,EUR 1735.95,1000.00,100.00,5.45%,Payout,M,0,
"JPMorgan Funds - Emerging Markets Local Currency Debt A (mth) USD",USD,5,Y,N,N,Y,1.00%,1.30%,USD 1886.00,1000.00,500.00,6.14%,Reinvest,M,0,
"HGIF - Global High Income Bond AM2 USD",USD,4,Y,N,N,N,1.25%,1.50%,USD 1553.95,1000.00,100.00,4.47%,Payout,M,0,
"Eastspring Investments - Asian Bond ASDM SGD-H",SGD,4,Y,N,N,N,1.00%,1.35%,USD 3550.50,1000.00,100.00,5.24%,Payout,M,0,
"Blackrock Asian Dragon A2 SGD-H",SGD,8,Y,N,N,Y,1.50%,1.84%,USD 1340.41,1000.00,100.00,,,,0,
"JPMorgan Funds - China A (acc) SGD",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 7626.70,1000.00,500.00,,,,0,
"LionGlobal Multi Income SGD",SGD,6,Y,N,N,Y,1.25%,2.07%,SGD 15.10,5000.00,200.00,3.44%,Payout,H,0,
"FTIF - Templeton Latin America A Acc SGD",SGD,9,Y,N,N,Y,1.40%,2.31%,USD 734.00,1000.00,100.00,,,,0,
"Natixis DNCA Emerging Europe Equity RA USD",USD,9,Y,N,N,N,1.47%,1.70%,USD 40.00,1000.00,100.00,,,,0,
"DWS Global Themes Equity A SGD",SGD,7,Y,N,N,Y,1.30%,1.85%,SGD 13.51,1000.00,100.00,,,,0,
"Cash Fund",SGD,0,Y,N,N,Y,0.20%,0.35%,SGD 48.00,500.00,500.00,,,,0,
"PIMCO Global High Yield Bond Fund Cl M Inc USD",USD,4,Y,N,N,Y,1.45%,1.45%,USD 5500.00,1000.00,100.00,3.13%,Payout,M,0,
"Schroder ISF Global Target Return A Acc SGD-H",SGD,6,Y,N,N,Y,1.25%,1.58%,USD 230.13,1000.00,100.00,,,,0,
"FTIF - Franklin Global Multi-Asset Income A (Mdis) USD-H1",USD,6,Y,N,N,N,0.85%,1.73%,EUR 144.00,1000.00,100.00,3.40%,Payout,M,0,
"JPMorgan Investment Funds - Global Income A (irc) SGD-H",SGD,5,Y,N,N,Y,1.25%,1.43%,USD 27976.80,1000.00,100.00,5.01%,Payout,M,0,
"JPMorgan Investment Funds - Global Income A (irc) USD-H",USD,5,Y,N,N,Y,1.25%,1.42%,USD 27976.80,1000.00,100.00,4.86%,Payout,M,0,
"United Global Durable Equities Fund Dis SGD",SGD,7,Y,N,N,Y,1.75%,2.13%,SGD 270.46,1000.00,100.00,5.35%,Payout,M,0,
"United Global Durable Equities Fund Dis USD",USD,7,Y,N,N,N,1.75%,2.13%,USD 203.29,1000.00,100.00,5.30%,Payout,M,0,
"Blackrock Emerging Markets Local Currency Bond A6 GBP-H",GBP,5,Y,N,N,Y,1.00%,1.29%,USD 2518.16,1000.00,100.00,6.22%,Reinvest,M,0,
"Blackrock Emerging Markets Local Currency Bond A6 SGD-H",SGD,5,Y,N,N,Y,1.00%,1.29%,USD 2518.16,1000.00,100.00,6.21%,Reinvest,M,0,
"Blackrock Emerging Markets Local Currency Bond A6 USD",USD,5,Y,N,N,Y,1.00%,1.29%,USD 2518.16,1000.00,100.00,6.15%,Reinvest,M,0,
"Blackrock Emerging Markets Local Currency Bond A8 AUD-H",AUD,5,Y,N,N,Y,1.00%,1.29%,USD 2518.16,1000.00,100.00,4.64%,Reinvest,M,0,
"Blackrock China Flexible Equity A2 USD",USD,9,Y,N,N,Y,1.50%,1.88%,USD 33.89,1000.00,100.00,,,,0,
"Blackrock Fixed Income Global Opportunities A2 GBP-H",GBP,4,Y,N,N,Y,1.00%,1.22%,USD 10703.34,1000.00,100.00,,,,0,
"Fidelity America SR-ACC-SGD (CPF)",SGD,8,N,Y,N,N,1.30%,1.69%,USD 2863.00,1000.00,100.00,,,,0,
"Fidelity European Growth A-ACC-USD (hedged)",USD,8,Y,N,N,N,1.50%,1.89%,EUR 6927.00,1000.00,100.00,,,,0,
"Fidelity India Focus A-SGD",SGD,9,Y,N,N,N,1.50%,1.94%,USD 1945.00,1000.00,100.00,,,,0,
"Threadneedle UK Equity Income Class 1 Acc GBP",GBP,9,Y,N,N,N,1.50%,,GBP 4125.60,1000.00,100.00,,,,0,
"Fidelity Global Inflation-linked Bond A-ACC-EUR (hedged)",EUR,2,Y,N,N,N,0.50%,0.70%,USD 1746.00,1000.00,100.00,,,,0,
"Threadneedle (Lux) Global Multi Asset Income AU Acc USD",USD,6,Y,N,N,Y,1.25%,1.55%,USD 176.70,1000.00,100.00,,,,0,
"Allianz All China Eq Cl AT Acc USD",USD,9,Y,N,N,Y,2.25%,2.30%,USD 1808.57,1000.00,100.00,,,,0,
"Fidelity Global Financial Services A-ACC-SGD",SGD,10,Y,N,N,N,1.50%,1.91%,EUR 1257.00,1000.00,100.00,,,,0,
"Fidelity Asian High Yield A-ACC-EUR",EUR,5,Y,N,N,N,1.00%,1.39%,USD 5191.00,1000.00,100.00,,,,0,
"Fidelity Italy A-EUR",EUR,9,Y,N,N,N,1.50%,1.92%,EUR 285.00,1000.00,100.00,0.25%,Reinvest,Y,0,
"Aberdeen Standard SICAV I - Australian Dollar Income Bond A MIncA SGD-H",SGD,3,Y,N,N,Y,0.60%,0.84%,AUD 72.70,1000.00,100.00,3.15%,Payout,M,0,
"FTIF - Franklin Technology A (acc) SGD-H1",SGD,10,Y,N,N,Y,1.00%,1.80%,USD 9470.00,1000.00,100.00,,,,0,
"Fidelity Greater China A-SGD",SGD,8,Y,N,N,Y,1.50%,1.93%,USD 1253.00,1000.00,100.00,0.13%,Payout,Y,0,
"FTIF - Templeton Global A Acc USD",USD,7,Y,N,N,N,1.00%,1.87%,USD 854.00,1000.00,100.00,,,,0,
"BNP Paribas Aqua Classic Cap EUR",EUR,9,Y,N,N,N,1.75%,2.22%,EUR 2931.00,1000.00,100.00,,,,0,
"Fidelity International A-ACC-SGD",SGD,7,Y,N,N,N,1.50%,1.89%,USD 1900.00,1000.00,100.00,,,,0,
"Fidelity World A-ACC-SGD",SGD,7,Y,N,N,N,1.50%,1.89%,USD 5311.00,1000.00,100.00,,,,0,
"HGIF - India Fixed Income AM2 USD",USD,5,Y,N,N,N,1.10%,1.45%,USD 825.80,1000.00,100.00,6.34%,Payout,M,0,
"HGIF - India Fixed Income AM3O SGD",SGD,5,Y,N,N,Y,1.10%,1.47%,USD 825.80,1000.00,100.00,6.20%,Payout,M,0,
"Blackrock Global Corporate Bond A3 GBP-H",GBP,3,Y,N,N,Y,0.90%,1.12%,USD 1618.65,1000.00,100.00,1.27%,Reinvest,M,0,
"Legg Mason QS - MV European Equity Growth and Income A Mdis SGD-H Plus",SGD,8,Y,N,N,N,1.35%,1.84%,EUR 27.68,1000.00,100.00,4.33%,Reinvest,M,0,
"Amundi Funds Emerging Markets Blended Bond A2 (C) EUR",EUR,5,Y,N,N,N,1.30%,1.65%,EUR 2900.05,1000.00,100.00,,,,0,
"Amundi Funds Emerging Markets Blended Bond A2 (C) SGD-H",SGD,5,Y,N,N,N,1.30%,1.65%,EUR 2900.05,1000.00,100.00,,,,0,
"Amundi Funds Emerging Markets Blended Bond A2 (MD) USD-H",USD,5,Y,N,N,N,1.30%,1.65%,EUR 2900.05,1000.00,100.00,,Payout,M,0,
"Fidelity Global Consumer Industries A-ACC-USD",USD,10,Y,N,N,N,1.50%,1.90%,EUR 1451.00,1000.00,100.00,,,,0,
"Fidelity China High Yield A-MINCOME(G)-SGD (hedged)",SGD,6,Y,N,N,N,1.20%,1.61%,USD 2392.00,1000.00,100.00,8.43%,Payout,M,0,
"Fidelity Global Multi Asset Income A-MINCOME(G)-SGD (SGD/USD Hedged)",SGD,6,Y,N,N,Y,1.25%,1.68%,USD 10367.00,1000.00,100.00,4.34%,Payout,M,0,
"Natixis Harris Associates US Equity RA USD",USD,8,Y,N,N,N,1.88%,1.95%,USD 836.80,1000.00,100.00,,,,0,
"Blackrock Dynamic High Income A6 EUR-H",EUR,8,Y,N,N,Y,1.50%,1.76%,USD 3175.25,1000.00,100.00,5.79%,Reinvest,M,0,
"Fidelity Asian Smaller Companies A-ACC-USD",USD,10,Y,N,N,N,1.50%,1.93%,USD 1117.00,1000.00,100.00,,,,0,
"Fidelity Asian Smaller Companies A-EUR",EUR,10,Y,N,N,N,1.50%,1.93%,USD 1117.00,1000.00,100.00,1.41%,Reinvest,Y,0,
"JPMorgan Funds - Total Emerging Markets Income A (mth) USD",USD,6,Y,N,N,Y,1.25%,1.55%,USD 386.10,1000.00,100.00,4.01%,Payout,M,0,
"Fidelity European Multi Asset Income A-EUR",EUR,6,Y,N,N,N,1.00%,1.41%,EUR 558.00,1000.00,100.00,1.45%,Reinvest,Y,0,
"Blackrock China Fund A4 GBP-H",GBP,9,Y,N,N,Y,1.50%,1.85%,USD 1745.41,1000.00,100.00,,Reinvest,Y,0,
"Natixis Ostrum Euro High Income RD SGD-H",SGD,4,Y,N,N,N,1.24%,1.30%,EUR 306.50,1500.00,100.00,2.30%,Payout,Q,0,
"BNP Paribas Global Environment Classic Cap SGD",SGD,8,Y,N,N,N,1.75%,2.22%,EUR 3056.00,1000.00,100.00,,,,0,
"BNP Paribas Global Environment Classic RH MD Dis SGD",SGD,8,Y,N,N,N,1.75%,2.22%,EUR 3056.00,1000.00,100.00,1.78%,Payout,M,0,
"Blackrock Emerging Markets Bond A8 AUD-H",AUD,5,Y,N,N,Y,1.25%,1.47%,USD 1663.13,1000.00,100.00,3.90%,Reinvest,M,0,
"Neuberger Berman Strategic Income A MDis AUD",AUD,3,Y,N,N,Y,1.00%,1.15%,USD 1306.18,1000.00,100.00,4.05%,Payout,M,0,
"Allianz Global Floating Rate Notes Plus Cl AT Acc USD",USD,3,Y,N,N,Y,0.55%,0.59%,USD 244.44,1000.00,100.00,,,,0,
"United Income Focus Trust Dis USD",USD,6,Y,N,N,N,1.25%,1.54%,USD 911.84,1000.00,100.00,5.58%,Payout,M,0,
"Neuberger Berman Emerging Markets Equity A Acc USD",USD,9,Y,N,N,Y,2.00%,2.21%,USD 549.57,1000.00,100.00,,,,0,
