Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
CapLand China T,AU8U,CAPA.SI,2056.039,210.525,,4.65,Real Estate,98.2
CapLand IntCom T,C38U,CMLT.SI,13534.832,745.209,39.76,3.45,Real Estate,110.5
Captii,AWV,CAPT.SI,12.144,,,3.29,Telecommunications Services,58
Casa,C04,CASA.SI,14.058,16.112,8.69,7.46,Cyclical Consumer Products,43
CDL HTrust,J85,CDLT.SI,1485.383,117.558,,4.62,Real Estate,85.9
CDW,BXE,CDWH.SI,66.827,148.449,31.24,5.54,Technology Equipment,85
CEI,AVV,CEII.SI,101.124,123.489,16.57,4.71,Technology Equipment,79
Centurion,OU8,CNCL.SI,281.661,128.355,16.41,,Real Estate,89
CFM,5EB,CFMH.SI,31.843,18.642,,,Industrial Goods,71
CH Offshore,C13,CHOF.SI,32.434,25.114,,,Energy - Fossil Fuels,62
Challenger,573,CHAL.SI,208.851,270.84,8.99,4.46,Retailers,73
Charisma Energy,5QT,CHAR.SI,26.048,17.989,,,Utilities,52
Chasen,5NV,CHHL.SI,24.888,103.136,,,Transportation,87
ChasWood Res,5TW,CHAS.SI,2.205,0.556,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,59.237,61.654,11.24,1.92,Chemicals,46
Cheung Woh,C50,CHWO.SI,87.664,41.858,,1.79,Industrial Goods,69
China Aviation,G92,CNAO.SI,909.493,13961.258,12.11,2.46,Energy - Fossil Fuels,84
China Env,5OU,CHEN.SI,30.344,1.213,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,150.704,70.194,,,Industrial & Commercial Services,
China Everbright,U9E,CEWL.SI,1463.817,969.054,4.16,6.71,Utilities,83
China Fishery,B0Z,CNFG.SI,264.632,647.329,,,Food & Beverages,45
China Haida,C92,CHHA.SI,1.02,6.358,,,Mineral Resources,68
China Intl,BEH,CHNA.SI,22.439,32.795,1.9,9.52,Industrial & Commercial Services,59
China Mining,BHD,CMIL.SI,7.04,0.654,,,Real Estate,57
China Sky Chem,E90,CSKY.SI,23.561,329.528,,,Cyclical Consumer Products,12
China Star Food,42W,CHIA.SI,28.282,52.618,,,Food & Beverages,48
China Yuanbang,BCD,CYBP.SI,22.208,114.36,2.05,,Real Estate,64
ChinaKangdaFood,P74,0834.HK,145.038,1842.542,,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,10.245,6.64,,,Automobiles & Auto Parts,70
ChinaSunsine,QES,CHSN.SI,531.03,483.781,11.58,1.85,Chemicals,
Chip Eng Seng,C29,CESE.SI,374.929,674.633,,4.4,Real Estate,85
Choo Chiang,42E,CHOO.SI,49.92,,,3.75,Industrial Goods,46
Chuan Hup,C33,CHHS.SI,204.22,34.634,,4.55,Real Estate,63
CityDev,C09,CTDM.SI,7019.806,2108.426,,1.04,Real Estate,125
Civmec,P9D,CIVM.SI,305.671,540.214,12.24,2.52,Industrial & Commercial Services,83
Clearbridge,1H3,CLEA.SI,94.434,36.258,118.6,,Healthcare Services,70
CNMC Goldmine,5TP,CNMC.SI,91.731,31.697,,,Mineral Resources,79
Colex,567,COLX.SI,28.492,47.215,16.13,2.09,Industrial & Commercial Services,60
Combine Will,N0Z,CWIHx.SI,26.024,163.768,4.92,6.21,Cyclical Consumer Products,64
ComfortDelGro,C52,CMDG.SI,3619.596,3228.6,59.33,0.86,Transportation,110
Cordlife,P8A,CORD.SI,96.309,50.616,14.11,2.5,Healthcare Services,59
Cortina,C41,CORT.SI,455.341,430.615,13.04,2.18,Retailers,75
COSCO SHP SG,F83,COSC.SI,694.166,185.843,83.33,,Transportation,55
CosmoSteel,B9S,COSM.SI,27.588,65.768,13.12,5.26,Mineral Resources,85
Courage Inv,CIN,1145.HK,378.708,61.444,,,Transportation,
CPH,539,CIPH.SI,6.146,,,,Real Estate,59
Creative,C76,CREA.SI,195.75,102.86,,,Technology Equipment,58
CreditBureauAsia,TCU,CRED.SI,287.987,43.378,37.18,,Industrial & Commercial Services,
Cromwell Reit EUR,CWBU,CROM.SI,1269.679,186.972,14.62,7.67,Real Estate,
Cromwell Reit SGD,CWCU,,,,,,,
CSC,C06,CSCH.SI,46.382,225.173,,,Industrial & Commercial Services,56
